hcp_id,specialty,tier,years_practice,historical_email_opens,historical_msl_calls,digital_engagement_score,publication_downloads,webinar_attendance,treatment,scientific_score
100001,Oncology,B,20,9,1,58.79317641916212,7,1,0,79.66851578029637
100002,Endocrinology,B,16,4,1,66.43858700124984,1,1,1,42.075132101752764
100003,Neurology,A,13,11,2,46.1909949045462,1,1,1,63.27492216231619
100004,Cardiology,B,24,4,1,71.89768018379885,6,4,1,92.25344894671362
100005,Oncology,B,14,7,2,72.01310787598692,4,3,0,72.19486597807916
100006,Oncology,C,3,7,2,59.26260925317474,4,1,0,62.84817066850719
100007,Oncology,A,32,9,3,53.302310501729885,2,2,0,64.23702130237824
100008,Endocrinology,B,26,13,1,62.52022474411258,3,1,1,77.78285806754968
100009,Cardiology,C,18,10,3,28.098368362379322,1,1,1,63.80694375835782
100010,Neurology,C,5,5,3,31.769278170492804,8,0,1,61.829900136371606
100011,Oncology,C,27,12,2,66.15121329574232,5,2,0,81.53635554206059
100012,Endocrinology,C,25,12,1,37.69695797007444,2,0,0,49.2130073847206
100013,Neurology,C,9,10,2,48.7398303506888,2,1,1,65.39908361481348
100014,Oncology,B,26,5,1,63.1387087736316,5,1,0,59.40889489012811
100015,Oncology,B,11,4,2,73.29030420142809,2,3,1,71.31571833362841
100016,Oncology,A,27,10,0,65.77128239860035,5,2,1,74.83931911975304
100017,Oncology,A,20,5,4,58.663449049212616,1,1,1,68.76265202767912
100018,Cardiology,B,25,9,4,59.72115954374431,2,0,1,72.88103837825946
100019,Oncology,A,25,8,3,53.778160567517574,3,3,0,88.68717330396373
100020,Oncology,B,10,4,3,60.13050702306851,5,5,1,85.5041707336412
100021,Cardiology,A,28,9,2,58.24125804507156,2,2,1,68.75172320851271
100022,Oncology,A,29,6,5,73.14887022525372,4,2,0,87.11206079136059
100023,Oncology,C,4,8,1,59.718569730647665,3,3,0,69.38115662906233
100024,Oncology,A,7,7,1,54.314215458561605,1,3,0,65.36818834479377
100025,Cardiology,C,3,13,0,72.82812970012004,3,3,0,81.57598287655964
100026,Neurology,A,5,9,0,62.40977194629678,2,7,0,82.57321734129428
100027,Oncology,C,30,10,0,65.76833335455193,2,3,0,70.8488478447044
100028,Cardiology,C,17,9,2,38.20221028219047,3,6,0,80.60849936358379
100029,Cardiology,B,30,10,2,45.39652853060315,1,1,1,59.35360644930908
100030,Oncology,B,10,11,1,61.248120105028036,1,3,0,65.74213473999694
100031,Cardiology,A,17,11,1,73.36877974643815,1,3,0,70.13857616710324
100032,Oncology,C,3,9,0,70.51007713638278,2,2,0,61.10570645461364
100033,Oncology,C,9,8,3,49.285897986589205,3,1,0,55.28176263330668
100034,Endocrinology,C,20,4,2,65.32688711869243,4,0,0,48.47683702635682
100035,Endocrinology,B,8,10,1,76.75612560803722,3,2,0,67.64600492888617
100036,Neurology,B,5,10,1,53.78769751677113,3,0,0,57.906686638578094
100037,Oncology,C,31,9,3,51.7784225049492,2,2,0,74.92137808869295
100038,Oncology,B,32,11,2,70.38050408438122,0,3,0,75.04980339569381
100039,Neurology,B,4,8,1,79.70977951661101,3,2,0,70.22226548442829
100040,Oncology,A,29,9,2,62.349365203365835,5,2,0,74.7197685997842
100041,Oncology,C,33,10,1,40.570141019521266,2,2,0,45.068181045091436
100042,Cardiology,A,29,4,3,67.64453828528092,6,3,0,72.20258113798992
100043,Oncology,B,17,11,1,67.51180849427034,3,0,0,61.064937140552544
100044,Endocrinology,B,19,12,2,66.77171214585564,3,2,0,77.14550896617378
100045,Oncology,C,6,8,6,51.43863581319299,4,1,0,76.73692620045524
100046,Neurology,B,7,7,1,92.9121140023361,3,2,0,71.39085286976021
100047,Oncology,B,4,5,0,84.25029720668057,3,0,0,52.30251858757068
100048,Cardiology,A,33,10,2,58.0188357721056,3,4,0,77.05988406715231
100049,Cardiology,C,27,8,4,44.04520139231018,4,1,0,64.35061985669947
100050,Oncology,C,4,6,1,51.46695754772455,2,2,0,63.65539609011373
100051,Endocrinology,C,31,4,3,70.21377387652645,6,3,0,82.30925603707563
100052,Neurology,B,3,10,4,67.21416584328081,7,2,0,96.42841147013388
100053,Endocrinology,C,2,6,3,69.0747509471031,3,2,0,87.88564368808639
100054,Endocrinology,B,22,7,5,65.28233468078399,2,1,1,90.93561651972298
100055,Cardiology,B,8,7,0,73.28547628059405,3,1,0,62.7381026943557
100056,Endocrinology,B,20,11,1,49.51321114280822,3,2,1,61.52485251704856
100057,Oncology,B,28,11,2,48.07498646284911,1,2,0,61.316739118155894
100058,Oncology,C,19,5,1,63.35370027281654,3,2,0,62.12159553598206
100059,Oncology,B,10,6,1,44.122594506236744,0,2,0,46.55709012548394
100060,Oncology,B,15,6,2,36.82082114988949,2,1,0,46.50174498799708
100061,Oncology,B,25,7,4,62.79616260254219,1,2,0,75.46538418100279
100062,Oncology,A,8,8,3,50.10753964246694,5,2,0,70.31265820730243
100063,Neurology,B,31,7,3,61.66754614404194,1,1,0,55.559147676984836
100064,Oncology,B,6,9,0,63.68195684999269,1,1,0,51.83700904746249
100065,Oncology,A,11,9,3,48.36811673262701,4,3,0,76.48265474653495
100066,Cardiology,B,12,9,6,60.44167650120216,0,6,0,95.91450702260822
100067,Oncology,B,5,11,2,51.57684733973306,6,4,0,95.20489344633638
100068,Neurology,C,3,14,1,37.515327591628065,2,1,0,57.21720763383294
100069,Oncology,B,22,7,4,67.04482124417754,3,4,1,95.66287576388088
100070,Endocrinology,C,11,5,2,78.37107117004767,7,3,0,83.93245465087652
100071,Neurology,C,31,9,2,63.61144929628374,3,2,0,60.81807419904706
100072,Oncology,C,10,11,2,80.8758753739884,5,0,1,89.40781115112742
100073,Oncology,B,8,7,3,69.29183170429168,5,0,0,73.96181065072693
100074,Neurology,B,20,5,1,50.23286375640646,5,1,1,62.99037745543726
100075,Neurology,C,17,14,0,60.7416485015235,3,5,0,91.34554605898103
100076,Neurology,B,30,14,3,88.31119761828069,2,3,1,96.80920096008865
100077,Neurology,B,19,9,2,50.0952165719012,2,0,0,54.72954742759163
100078,Oncology,B,15,12,2,61.267751705786054,2,1,1,78.54241262795897
100079,Oncology,A,11,10,1,75.0191689626318,3,1,1,75.02167481188272
100080,Oncology,C,13,12,0,72.83177406240529,0,0,0,58.05880278578217
100081,Endocrinology,B,22,8,2,50.62780578916052,5,3,1,83.19075295677908
100082,Cardiology,B,23,10,2,89.28973646898788,3,3,1,101.84354372400335
100083,Oncology,B,34,8,3,60.62105837825343,4,0,0,66.83175089819242
100084,Oncology,B,11,11,3,58.00875093784174,5,3,0,86.6016993224796
100085,Oncology,A,17,9,2,50.127044874373674,2,3,0,74.30107036106442
100086,Oncology,B,19,8,3,80.11131360317538,2,2,0,74.73449296762689
100087,Neurology,C,23,14,4,42.154070221380934,1,4,0,81.53546936717709
100088,Cardiology,B,7,10,3,55.09856145384379,3,1,0,69.69780117706074
100089,Endocrinology,C,8,7,1,78.2721143990021,2,1,0,63.28477933672361
100090,Cardiology,B,27,9,0,69.56024278098828,1,2,0,59.71417634829552
100091,Oncology,B,11,8,2,85.30868640341815,2,3,1,100.54775341420039
100092,Neurology,A,11,10,3,77.49986525555443,4,2,0,88.54295183701947
100093,Neurology,B,17,10,0,45.89744146665159,0,3,0,54.250655404679506
100094,Cardiology,C,7,10,2,67.57054134484315,5,1,0,78.57558761066393
100095,Neurology,C,25,6,0,42.32476933523363,4,3,0,55.43617976025825
100096,Cardiology,B,19,12,1,69.47132825448703,3,1,0,68.61249739086682
100097,Cardiology,B,13,6,2,44.31944437084091,4,3,0,63.64761100664193
100098,Oncology,C,24,4,3,60.248220480477684,2,3,0,67.40739349778939
100099,Oncology,B,20,14,1,41.365711317884376,1,2,1,69.35691615931403
100100,Oncology,A,27,13,6,52.861604458531446,5,2,1,111.77607860241864
100101,Oncology,C,26,9,2,52.9397807203948,1,2,0,65.0918621574873
100102,Cardiology,B,29,10,0,58.11589460276693,0,3,0,70.93611521697001
100103,Oncology,C,28,4,2,73.33914670801447,2,4,1,79.69578000910087
100104,Cardiology,B,4,8,1,49.38109470664533,2,3,0,53.446739135141364
100105,Endocrinology,C,25,4,4,43.17369853288208,4,0,0,63.42230037331254
100106,Oncology,B,4,6,1,62.10772952259407,1,3,1,64.67711278643094
100107,Oncology,B,5,11,0,71.57063101654994,2,3,1,86.37165827160179
100108,Neurology,B,6,5,0,56.92263965642096,5,4,0,74.11309150516736
100109,Oncology,B,18,11,1,69.05501648475575,2,0,0,60.78210257037595
100110,Oncology,A,9,7,1,58.40217583149053,1,1,0,43.259974044362046
100111,Oncology,B,10,12,2,57.25890679463659,4,0,0,65.5523944761278
100112,Oncology,A,11,5,2,71.17180938702155,4,1,1,74.55136140649347
100113,Endocrinology,C,11,3,2,77.57028048074359,2,3,1,75.86259272116264
100114,Neurology,B,29,8,0,69.07200618987733,5,2,1,67.01436490661578
100115,Cardiology,A,11,9,3,61.878528338188374,2,3,1,83.01540796944812
100116,Endocrinology,A,25,6,3,40.13742595739289,1,1,0,45.084496469532176
100117,Neurology,A,25,5,4,60.120573404420135,2,2,0,70.55961658738777
100118,Oncology,B,14,5,3,45.581755642627535,3,0,1,60.27965401753861
100119,Endocrinology,A,33,9,3,65.00036067919568,2,3,0,72.97769694942109
100120,Cardiology,C,16,7,1,53.23487554198182,4,0,0,52.84088991900594
100121,Neurology,A,9,6,2,83.36581208153814,6,2,0,82.25695735168588
100122,Endocrinology,B,3,9,4,78.35320229275493,2,2,0,80.64492309201405
100123,Oncology,C,20,10,3,69.07115106833639,5,1,1,85.57338083136682
100124,Oncology,C,16,6,2,38.766639681354214,4,1,0,45.43418197576641
100125,Oncology,A,6,8,2,47.557342951700804,2,1,1,57.79997961664378
100126,Oncology,C,12,6,4,76.3424652609128,2,2,0,74.68720824455063
100127,Neurology,B,22,3,3,57.80653375722801,5,0,0,60.43359737446169
100128,Endocrinology,C,8,11,3,67.93067004949647,2,1,0,73.76199102842737
100129,Oncology,B,31,5,0,40.95793751855619,0,1,0,24.52837628529831
100130,Cardiology,B,30,7,6,36.604467203292856,4,2,0,72.26874610078865
100131,Oncology,C,11,13,2,55.65778776827327,1,1,1,78.16859023257724
100132,Oncology,B,34,7,1,69.07328842883278,3,1,0,58.51958539150631
100133,Oncology,B,19,5,1,38.2697016706506,0,0,1,40.58425148181186
100134,Oncology,B,25,5,4,70.45977150246875,1,0,0,63.04174586741734
100135,Endocrinology,A,32,3,6,67.8425248614173,6,0,0,73.94328409539422
100136,Oncology,A,7,5,2,76.54543245146789,3,2,0,66.20417579896394
100137,Cardiology,A,22,9,1,50.5060530470788,3,2,0,58.75287731705888
100138,Neurology,B,8,7,0,80.59389511566877,5,3,1,80.43354511789535
100139,Oncology,B,6,10,2,47.470591167034705,5,5,0,87.50973261808122
100140,Endocrinology,B,25,6,0,31.105173460815955,5,3,1,66.4980637702672
100141,Endocrinology,A,15,10,2,61.13078005003533,1,2,0,66.68845762648523
100142,Oncology,B,30,11,4,72.40494385437779,3,1,0,82.34267706683633
100143,Cardiology,C,14,8,3,50.13332074888645,5,1,0,66.0131840603544
100144,Oncology,B,15,11,0,63.81373246846585,0,3,0,51.36811938809961
100145,Oncology,B,16,7,3,75.7842095306335,4,0,0,65.44904992220815
100146,Oncology,C,11,10,4,81.27204432613922,4,0,0,84.86315549533296
100147,Cardiology,C,12,7,1,71.88363054936104,0,3,1,74.38796366618408
100148,Cardiology,B,20,8,4,56.605047744566484,4,1,0,67.79169495237912
100149,Oncology,C,18,9,1,57.028789748626416,3,1,0,57.73115423668516
100150,Oncology,B,6,5,3,54.46817639567861,4,1,0,55.16534417759644
